loan_id,emi_id,bounce_reason
45067,dolore,debitis
22420,sed,earum
35167,architecto,corporis
53111,et,similique
79403,fugiat,eius
64390,voluptatem,cumque
24796,iste,perferendis
34190,sunt,ex
36507,doloremque,tenetur
27007,officiis,fugit
55286,maxime,libero
26296,aliquam,soluta
12713,inventore,iure
10329,vel,beatae
17172,fugit,velit
17129,quaerat,maxime
51547,facilis,deleniti
15903,autem,ex
75085,tempora,iure
94252,ad,hic
38013,corporis,voluptate
85854,quisquam,voluptatem
25022,natus,cumque
35515,expedita,ipsa
90455,odio,aliquam
72832,cupiditate,perspiciatis
59107,numquam,exercitationem
30211,modi,odio
91078,fuga,in
63057,eveniet,est
94711,sed,ad
28171,totam,quaerat
86230,ipsa,quidem
79487,necessitatibus,ducimus
76537,recusandae,doloribus
86620,aspernatur,tenetur
66324,perspiciatis,veritatis
98780,nobis,eveniet
67864,cumque,ad
23283,aspernatur,dolor
43685,maxime,explicabo
21687,itaque,cupiditate
50572,ipsam,perspiciatis
96552,aut,vitae
54359,modi,cumque
54687,odio,omnis
93674,laborum,iusto
61185,ab,cupiditate
46077,iure,recusandae
12340,qui,atque
34335,pariatur,quibusdam
24972,fugiat,commodi
22651,voluptate,fugiat
30865,aliquid,rem
19770,possimus,assumenda
99351,eligendi,ad
92342,minima,quos
40528,voluptatem,magnam
51473,culpa,officiis
46239,id,ducimus
44386,alias,ad
87081,dolores,ut
14502,consectetur,voluptates
46889,quaerat,nisi
13844,voluptatibus,ea
72654,provident,veritatis
31777,amet,quasi
63913,quae,eaque
57318,ab,temporibus
41989,magni,odio
84430,ullam,cupiditate
78679,rem,consequuntur
74031,error,laudantium
23368,similique,quod
58631,inventore,natus
21136,totam,atque
77728,qui,quis
89624,corrupti,dolorem
86833,voluptatem,temporibus
97901,dolor,voluptates
33934,harum,voluptas
21142,laboriosam,placeat
67937,possimus,ex
65748,atque,saepe
14734,vel,iusto
83887,numquam,quo
99802,id,consectetur
27740,incidunt,eligendi
37638,laudantium,ea
23131,unde,enim
72634,repellendus,hic
84814,soluta,optio
64677,hic,repellat
27637,aperiam,modi
68672,quia,odit
66063,velit,fugiat
15866,illo,ipsa
86263,omnis,impedit
96005,illum,excepturi
95714,est,cumque
78282,consequuntur,nemo
28788,similique,quae
93498,sequi,ipsa
66638,beatae,quae
11575,veritatis,quos
10416,atque,maxime
28861,doloremque,expedita
71377,animi,eos
26945,modi,esse
54487,culpa,deserunt
81539,corrupti,inventore
37397,doloremque,illum
69302,reiciendis,hic
83857,similique,itaque
97853,blanditiis,totam
29883,ab,asperiores
70158,dolore,impedit
15028,omnis,sunt
14813,quaerat,aut
51045,delectus,occaecati
74641,voluptatum,asperiores
16927,dolore,fugit
40181,eum,quis
76454,dolorem,assumenda
45947,vero,quae
23004,a,tempore
35437,consectetur,quos
84761,sit,nihil
24336,deserunt,eos
35454,facere,ducimus
72122,rerum,fugiat
28910,laboriosam,eaque
43293,nesciunt,et
53332,nam,magnam
44669,aspernatur,nobis
83714,vitae,ipsa
85774,praesentium,quas
58133,est,mollitia
51492,earum,incidunt
40573,porro,sapiente
86053,perferendis,nam
33420,et,consequatur
54571,voluptatem,odit
33655,id,ratione
16623,quisquam,quasi
62925,numquam,sequi
38566,dignissimos,deserunt
53039,ullam,quae
44655,a,exercitationem
67180,deserunt,eveniet
43583,cum,amet
51523,fuga,provident
38883,ducimus,voluptatum
22255,quos,amet
13750,fugit,quis
53689,exercitationem,facere
10176,blanditiis,cum
38972,facilis,voluptate
33387,quibusdam,omnis
57035,repellendus,alias
34694,assumenda,ipsam
63264,maiores,consequatur
99552,ipsa,totam
86932,fugiat,velit
45026,tempore,pariatur
77598,perspiciatis,error
29096,dolore,dignissimos
70592,cupiditate,reprehenderit
99999,beatae,laboriosam
39054,earum,vitae
52172,occaecati,perspiciatis
68815,maxime,corporis
75739,eos,dolorem
72503,illum,ullam
50288,fugiat,asperiores
72716,numquam,incidunt
34180,enim,voluptatibus
63284,incidunt,molestias
31330,harum,rerum
48891,culpa,magni
74905,modi,optio
81553,soluta,nisi
25735,molestiae,illo
56227,est,officia
49271,dolorum,sunt
55293,veniam,qui
55270,maxime,voluptas
22462,et,atque
44745,excepturi,in
50260,fuga,excepturi
48324,odio,nemo
74244,ad,vel
79907,eveniet,cupiditate
72018,assumenda,similique
47520,repellat,laudantium
10896,corporis,atque
84796,perferendis,explicabo
62794,quis,sed
13094,ab,laudantium
90710,necessitatibus,veniam
27785,nam,animi
47434,nobis,harum
24828,quibusdam,commodi
55339,sit,vitae
83400,adipisci,non
67020,nihil,a
48330,repellendus,eaque
57392,veritatis,veniam
87159,amet,natus
89580,id,eligendi
26390,doloremque,animi
80373,a,repellendus
92439,quasi,minus
37310,maxime,quis
99430,labore,fugiat
12117,modi,minus
23921,facere,ipsa
92649,enim,ab
94916,temporibus,vero
26199,nostrum,eos
94396,magnam,perspiciatis
10891,sint,libero
45372,quidem,incidunt
67763,tempora,ipsa
78725,iusto,occaecati
56210,possimus,occaecati
75597,nesciunt,alias
53894,molestiae,veniam
59303,dolorem,ipsam
45054,aliquid,nesciunt
13545,alias,amet
59475,quibusdam,veniam
47316,fugiat,mollitia
98386,dolorum,est
25076,eaque,similique
32576,nemo,unde
31438,odit,sequi
70758,saepe,sapiente
28643,et,dolorem
96898,fugit,aliquam
79304,earum,ipsam
25932,ullam,optio
69418,magni,ut
61590,autem,quis
36509,veritatis,aperiam
87238,dicta,ex
76426,asperiores,suscipit
30807,aliquam,numquam
68838,nisi,nulla
51336,optio,eum
50600,autem,ad
32347,tenetur,nam
13780,non,ad
40954,consequatur,dicta
37671,deleniti,dolorum
75116,temporibus,perspiciatis
21457,aut,totam
32722,incidunt,placeat
79210,accusamus,corrupti
50510,illo,officia
75028,est,quam
65401,blanditiis,vitae
53971,temporibus,optio
10502,praesentium,molestiae
93887,commodi,repellat
18192,iste,temporibus
92567,beatae,nisi
80293,nostrum,reiciendis
51478,itaque,dolores
13971,quae,at
12609,omnis,culpa
51358,soluta,veritatis
76860,ex,voluptates
81056,distinctio,occaecati
38405,voluptas,aliquid
72754,totam,temporibus
88920,nesciunt,laudantium
41774,doloribus,reiciendis
44342,assumenda,deleniti
64651,laborum,totam
53324,ad,doloremque
15406,corporis,necessitatibus
25589,pariatur,magni
68224,impedit,sequi
99729,repellat,amet
19644,id,ullam
66629,velit,officia
38241,nemo,nostrum
77332,ipsum,sint
76746,nobis,necessitatibus
80959,architecto,cumque
80087,occaecati,quam
13931,aliquam,nulla
37738,saepe,voluptatibus
99957,numquam,nesciunt
89542,ab,odit
49056,minus,sint
51976,vero,alias
76563,cupiditate,dolore
63853,modi,fuga
65020,saepe,aliquam
39758,provident,hic
30084,reprehenderit,laborum
83406,quas,nemo
57315,numquam,earum
40708,officia,consectetur
28011,laudantium,atque
37263,expedita,nulla
37966,ipsam,illo
75157,debitis,tempore
23698,aliquid,illo
40691,quis,tenetur
87627,aliquid,explicabo
48918,maxime,illo
90675,necessitatibus,blanditiis
66486,nulla,itaque
79570,reiciendis,hic
21537,mollitia,rerum
82632,ducimus,quae
20249,consectetur,et
69736,molestias,voluptate
62979,in,est
25360,ea,ullam
83759,dolor,cum
85113,asperiores,eaque
96777,dignissimos,velit
97193,ea,sint
61029,cupiditate,magnam
18597,ab,numquam
25584,veritatis,culpa
53157,voluptatum,placeat
68544,ducimus,alias
46899,voluptatibus,aut
91365,sint,et
85041,culpa,dignissimos
11304,nobis,eius
38138,ea,dolores
23350,deleniti,excepturi
71704,dolor,officiis
35343,praesentium,ut
82703,dicta,doloremque
42208,perferendis,officia
46149,deserunt,tempora
47256,doloremque,rerum
70834,a,quo
82335,consequatur,vero
70083,quos,nulla
49014,ut,voluptatibus
17720,porro,maxime
83348,maxime,nam
20780,impedit,quasi
93254,incidunt,consequatur
27307,ipsum,deserunt
72436,ratione,eum
20284,atque,mollitia
63724,beatae,nostrum
87753,alias,animi
93421,cupiditate,dignissimos
30844,corrupti,ab
51679,cum,vel
84448,nobis,nobis
36579,voluptatibus,corrupti
97372,atque,fuga
63050,error,earum
74964,itaque,quod
40998,architecto,repellendus
40156,corrupti,quas
71932,perferendis,dignissimos
51023,dolorum,voluptate
43218,assumenda,cumque
27623,eaque,enim
67143,id,ad
41457,commodi,qui
60322,molestias,omnis
52748,officia,eaque
82830,deleniti,nostrum
58188,dignissimos,occaecati
77657,facilis,minus
43567,hic,optio
70052,molestias,vel
82532,ipsam,error
20700,consequuntur,quasi
59636,perspiciatis,sint
37245,veritatis,unde
61741,doloribus,nostrum
66229,sed,non
83758,hic,quisquam
99881,odio,itaque
30181,ipsum,hic
65362,ut,adipisci
74850,voluptatem,incidunt
67184,ea,non
53641,consectetur,excepturi
41689,inventore,error
96188,maiores,voluptates
54908,eius,nostrum
91949,nesciunt,sint
88727,nostrum,facere
60965,recusandae,voluptatum
83572,cumque,officiis
74985,unde,voluptatibus
79112,odio,voluptate
30408,a,veniam
77822,vel,modi
52670,voluptas,ex
42681,quidem,pariatur
16609,officiis,voluptatem
94787,dolore,veniam
50093,cumque,inventore
98927,atque,voluptatum
87992,quas,porro
97887,maiores,accusamus
71165,esse,amet
38982,perferendis,explicabo
66548,aut,eligendi
56645,neque,veniam
30848,assumenda,occaecati
41801,omnis,laudantium
11368,natus,reprehenderit
61002,facilis,ex
70886,dolor,unde
75580,in,repellendus
14306,tenetur,dolores
54643,eaque,repudiandae
45307,sit,repudiandae
14705,sapiente,error
54549,impedit,nam
88507,fuga,deleniti
47459,praesentium,debitis
38994,architecto,dicta
87182,voluptatem,ipsam
19607,voluptates,incidunt
56759,praesentium,quae
41558,exercitationem,occaecati
64239,harum,sequi
70255,quos,eveniet
97851,sapiente,ut
65109,repellendus,nesciunt
