app_id,tat_start_to_login,tat_login_to_sanc
787046,sed,in
114055,velit,vero
140602,tempore,ducimus
424554,dolorem,tenetur
740472,architecto,sunt
176271,modi,magnam
142127,dicta,quaerat
986533,explicabo,eligendi
744625,quod,nesciunt
470698,blanditiis,repudiandae
852081,eos,est
349777,numquam,eum
244320,consequuntur,explicabo
752394,ipsa,suscipit
585681,dolorum,perferendis
198926,nemo,debitis
847526,illum,non
374368,dolor,optio
825995,ex,laboriosam
994129,illo,pariatur
564468,nemo,eligendi
253402,nisi,rerum
893372,ut,animi
722772,harum,reprehenderit
858981,minus,optio
223411,fugiat,numquam
924535,adipisci,aperiam
576569,ad,expedita
666480,incidunt,optio
843248,nobis,maxime
526735,eos,facilis
853542,numquam,aliquam
120923,quos,laborum
414898,sequi,tempora
574913,vel,reprehenderit
291145,autem,sapiente
706049,facilis,neque
859681,molestias,necessitatibus
393957,ipsa,cumque
109848,laborum,provident
831093,amet,nihil
742662,pariatur,consectetur
300222,consequuntur,quo
796991,asperiores,modi
807960,nemo,harum
236079,harum,error
842347,sunt,minima
426180,quod,excepturi
184901,reprehenderit,amet
503513,ducimus,tempora
664845,sit,non
786031,at,explicabo
900145,esse,mollitia
564743,cum,dolore
645246,eligendi,incidunt
833514,commodi,recusandae
154105,perspiciatis,occaecati
302828,natus,laboriosam
578811,possimus,ipsam
520592,itaque,beatae
561351,ipsam,eius
982753,asperiores,ad
900321,perferendis,exercitationem
308820,consectetur,fuga
280908,fugiat,quasi
648884,impedit,inventore
909975,soluta,eaque
425305,ipsam,numquam
674250,voluptatibus,inventore
427322,totam,ex
392579,cumque,occaecati
214429,quasi,minus
127114,non,animi
589403,a,modi
552064,aperiam,consectetur
267369,tempore,aliquid
265450,atque,corrupti
598201,eaque,perspiciatis
334787,necessitatibus,eius
406893,provident,ea
637094,ullam,amet
445613,quos,tenetur
439918,dicta,beatae
833385,totam,eius
803149,nam,ducimus
360770,similique,blanditiis
742989,tempora,nisi
347789,dolores,alias
365507,nam,recusandae
981887,placeat,fuga
573927,nisi,inventore
674896,incidunt,repellat
813240,sint,velit
207727,cumque,consequuntur
832004,assumenda,consectetur
836158,nam,dolore
831818,repellendus,minus
725958,modi,doloribus
383511,impedit,suscipit
914036,nemo,laudantium
907916,recusandae,ipsam
328122,voluptatibus,eaque
437118,alias,soluta
120094,laborum,ipsa
648187,ullam,possimus
443120,nam,illum
750315,tenetur,quos
859900,debitis,et
334002,hic,numquam
258879,repellat,aut
105721,quasi,sunt
363498,rerum,magnam
189071,recusandae,provident
200859,quia,animi
733908,consectetur,eaque
664783,pariatur,facere
277117,enim,necessitatibus
539626,atque,tenetur
455025,a,placeat
352769,voluptatem,occaecati
488256,architecto,eligendi
370866,occaecati,deserunt
285993,animi,qui
924358,dolorem,nobis
656352,perferendis,suscipit
891299,aut,reprehenderit
178602,quasi,numquam
593692,incidunt,possimus
392192,id,corporis
724009,aut,provident
220996,recusandae,optio
809639,voluptatem,necessitatibus
242730,aspernatur,totam
998517,sapiente,ex
957369,debitis,facilis
669762,dicta,sit
100850,inventore,eius
673392,cupiditate,saepe
217430,officia,cum
563077,perferendis,at
443610,molestias,culpa
485781,nihil,atque
329823,tenetur,nisi
413207,fuga,inventore
842204,magni,doloribus
241765,aliquid,nulla
338674,sed,veritatis
749612,iusto,quaerat
892934,incidunt,tempora
769656,quidem,nulla
655947,quod,voluptas
434977,laborum,laboriosam
240036,earum,alias
880101,sapiente,ut
963739,exercitationem,eum
984556,sequi,libero
478998,cumque,illum
521283,reiciendis,itaque
124233,cupiditate,distinctio
593051,temporibus,maiores
868581,voluptatum,incidunt
197631,perspiciatis,laboriosam
156602,atque,reiciendis
286690,aliquid,soluta
608075,architecto,vel
854541,illum,hic
528471,quibusdam,dolorum
154971,similique,sed
430931,laboriosam,illum
798469,natus,similique
336603,cupiditate,reprehenderit
751382,odio,dolores
663497,repellendus,modi
249137,illo,non
134353,ab,molestiae
187633,nemo,earum
741781,nesciunt,ipsa
836109,non,odit
590950,pariatur,consectetur
654610,adipisci,hic
664565,repellendus,sunt
844496,excepturi,doloremque
490264,perspiciatis,architecto
136050,molestiae,quod
272890,nihil,quia
879838,magnam,iusto
244956,deserunt,dolorum
390680,cumque,voluptatum
525736,repudiandae,vel
135950,aspernatur,consectetur
880880,error,ex
535780,qui,aliquam
237883,eaque,quo
939588,soluta,at
758636,sint,in
483537,optio,minus
421405,iusto,repellendus
986779,commodi,ut
975482,tenetur,exercitationem
819979,quos,aliquam
112904,explicabo,sint
980928,omnis,sunt
802885,mollitia,ullam
698109,porro,perferendis
999738,voluptatem,doloremque
592092,aliquid,excepturi
632738,sit,recusandae
403950,veniam,nobis
410132,quasi,ipsam
263928,fugiat,adipisci
409959,ipsa,ratione
879851,sint,mollitia
322765,iusto,quia
875391,aliquam,saepe
149713,dolore,quod
383838,odit,illo
476812,est,ipsam
548543,officia,praesentium
783402,culpa,voluptate
464811,inventore,molestias
398810,similique,inventore
725405,dolorem,voluptatem
102217,placeat,commodi
558579,sunt,incidunt
132205,quas,dolore
466646,error,ratione
296916,esse,non
914906,placeat,tempora
589049,itaque,ex
298003,suscipit,ab
272278,alias,quasi
507144,quam,culpa
494955,fugiat,sunt
430627,voluptas,nam
969254,illum,eaque
898251,repellendus,molestias
619421,reprehenderit,officiis
376542,libero,magni
727662,autem,est
541275,earum,fugiat
921546,occaecati,ea
145600,atque,quia
826466,asperiores,non
656731,nobis,doloremque
257852,sit,inventore
913495,ipsa,eveniet
291351,corporis,beatae
500940,aut,exercitationem
597838,ab,iste
876418,illum,nostrum
210459,voluptatem,deleniti
891403,laudantium,architecto
710277,sequi,nihil
929766,modi,dicta
956169,quisquam,odio
865317,harum,quis
169924,deleniti,corporis
974305,ad,nam
675661,pariatur,quidem
729509,saepe,mollitia
312335,facere,nesciunt
180630,ea,nostrum
609801,officiis,maiores
573169,laborum,provident
425726,doloribus,mollitia
174157,nesciunt,aut
342385,laborum,maxime
583327,dolor,deleniti
180787,numquam,consectetur
760889,corrupti,iste
162620,officiis,mollitia
306978,laboriosam,amet
987849,unde,doloribus
199366,consequatur,recusandae
510285,itaque,aspernatur
169509,minus,nisi
521756,mollitia,repellat
510258,maxime,laudantium
112522,maxime,libero
304228,perferendis,debitis
631827,inventore,dolorum
758943,sapiente,nihil
564075,assumenda,voluptas
852476,eius,sint
677329,tempora,fuga
283362,sunt,est
231943,aliquid,minima
999138,velit,minus
299614,iusto,aspernatur
878695,exercitationem,consequuntur
586686,omnis,odit
513420,rem,at
870610,voluptatibus,ipsa
599859,distinctio,reprehenderit
793294,doloremque,repudiandae
277121,soluta,quo
886934,tempora,sint
112033,iste,eum
880302,dolores,repellat
152658,pariatur,ab
233322,saepe,architecto
982207,minima,iste
900926,a,illum
950478,facilis,in
580251,aliquam,incidunt
801843,id,odit
337486,rerum,occaecati
292090,exercitationem,nostrum
362970,voluptatibus,maxime
403236,id,optio
999455,expedita,amet
572811,occaecati,doloribus
361194,quod,tenetur
521337,nostrum,cupiditate
214110,in,unde
836623,temporibus,ipsa
565085,omnis,perspiciatis
203454,numquam,molestias
481362,voluptatum,fuga
713215,veniam,eveniet
235394,nihil,sit
181105,dignissimos,exercitationem
308742,libero,distinctio
281365,odio,officiis
742542,aliquam,cum
439034,magni,neque
244100,optio,ipsam
685125,nisi,itaque
820916,laboriosam,blanditiis
256772,cupiditate,voluptatem
498308,atque,qui
464815,soluta,labore
169608,totam,quas
777071,voluptas,itaque
517179,dolor,atque
682992,commodi,nam
217964,soluta,incidunt
739405,deleniti,voluptates
388012,repellendus,voluptatem
416308,nesciunt,quaerat
991653,perspiciatis,quod
777739,aliquid,quo
222176,eum,consequatur
631897,tempora,accusamus
490194,delectus,cum
696849,corrupti,impedit
728030,fugit,consequatur
556677,vel,blanditiis
874446,voluptatum,id
478392,excepturi,fugit
781760,ab,debitis
860175,assumenda,asperiores
742102,assumenda,temporibus
850774,esse,optio
511711,iusto,necessitatibus
905302,culpa,facere
547750,tenetur,dolores
962881,reiciendis,nisi
644323,animi,fugit
243629,tempore,quas
389633,culpa,deleniti
303211,accusantium,est
502679,deserunt,delectus
618259,veniam,tempore
579947,veritatis,deserunt
967647,qui,accusamus
676048,possimus,ab
930012,deserunt,incidunt
165377,a,corrupti
976426,aliquid,atque
540733,provident,eveniet
415045,illum,perferendis
334577,iusto,reiciendis
944744,magnam,dignissimos
230941,maiores,ullam
384242,voluptates,accusamus
301147,ratione,quidem
727554,ex,dicta
457154,vitae,assumenda
521748,modi,deserunt
108179,facere,iste
746295,incidunt,modi
314207,ratione,animi
594811,dignissimos,libero
648107,explicabo,doloremque
849366,perferendis,quo
863490,sit,quam
289580,ea,excepturi
749997,laborum,harum
762875,ipsum,qui
103911,molestias,nesciunt
137118,nesciunt,vitae
286032,voluptates,molestias
994216,dolor,omnis
120349,architecto,consequatur
721013,cum,fuga
340564,doloribus,eius
499228,officia,pariatur
873781,veritatis,quam
790656,aspernatur,iste
755098,voluptas,dolorum
804858,dolore,consequuntur
381267,illum,consequatur
613271,repellat,hic
141468,possimus,rem
940522,cumque,iste
408139,molestias,deleniti
104897,vitae,maiores
751383,id,recusandae
462471,minima,mollitia
265125,saepe,eum
862451,dolores,eaque
155152,ea,mollitia
301558,distinctio,molestiae
578728,repellat,reprehenderit
746251,nam,veritatis
832538,libero,alias
944501,tempora,doloribus
544070,maiores,pariatur
397855,repudiandae,delectus
677659,optio,ipsa
381933,alias,ab
831303,nobis,delectus
347019,praesentium,minima
122427,repellendus,quasi
606056,quasi,aut
110590,doloremque,molestiae
999271,ad,nobis
922869,exercitationem,dolorum
872272,quod,dicta
775917,nam,fuga
585493,molestias,ab
789673,maxime,facilis
633315,dicta,autem
707045,maiores,atque
554223,expedita,nisi
747492,a,quidem
706177,nobis,accusamus
260125,quaerat,accusantium
918873,soluta,aut
819459,cupiditate,voluptas
568044,optio,illo
423457,unde,iusto
925768,ipsam,fuga
261101,sunt,recusandae
690725,eligendi,quis
546370,deserunt,assumenda
556209,ullam,pariatur
890645,ut,pariatur
263746,optio,quis
148989,error,earum
354785,nisi,saepe
577970,libero,minima
100625,reprehenderit,quaerat
908990,odit,velit
789269,officiis,iure
737704,eaque,rerum
835339,soluta,molestias
293409,molestias,animi
808314,rerum,dolorum
765510,occaecati,dolores
969540,dolorum,tempore
925699,quam,quasi
199701,voluptatum,dicta
701528,tempora,ducimus
588769,asperiores,iste
727917,cum,dolore
514494,nemo,facilis
318989,magni,illo
829170,atque,aperiam
192578,fuga,eum
844443,illo,minima
640479,dignissimos,blanditiis
464187,omnis,ipsa
786439,rem,omnis
409601,tempora,ipsum
312220,perspiciatis,voluptatem
827988,est,aspernatur
644802,nulla,mollitia
101757,cum,dolor
811957,et,praesentium
917993,provident,repudiandae
625504,cumque,blanditiis
364206,atque,dolor
488267,molestiae,neque
342350,animi,animi
329507,officiis,quas
309569,placeat,incidunt
232000,officiis,atque
640404,nostrum,beatae
260124,eveniet,harum
779840,incidunt,magnam
286494,ab,ratione
515183,perspiciatis,repudiandae
572119,distinctio,qui
965130,quidem,itaque
622103,sapiente,illum
326482,aspernatur,nobis
244809,earum,assumenda
568508,omnis,tenetur
464164,libero,qui
554639,eligendi,magni
586605,explicabo,tenetur
508321,dolorem,a
343272,sequi,et
522070,illum,veritatis
388578,voluptatem,quae
942019,commodi,quam
331199,ducimus,necessitatibus
422758,totam,adipisci
806848,quos,soluta
316303,aperiam,similique
307496,voluptas,adipisci
303668,a,rerum
653414,ut,optio
427073,unde,natus
724770,in,sint
143555,ullam,aliquid
944745,magnam,consectetur
649273,amet,consectetur
794701,mollitia,perferendis
241256,et,laboriosam
840182,odio,accusamus
511185,fugiat,omnis
173870,asperiores,adipisci
578485,accusantium,non
688021,voluptate,ratione
181536,expedita,alias
373930,tempora,eveniet
236003,assumenda,quo
252291,ex,animi
949883,cupiditate,ipsam
867320,iusto,assumenda
382788,culpa,odit
302478,nam,aut
183314,aut,voluptatem
995189,quidem,nemo
161787,aliquam,laudantium
690510,labore,sed
281262,voluptas,odio
491848,consectetur,dignissimos
397732,inventore,quisquam
413602,aliquid,harum
404244,aspernatur,hic
520369,consectetur,mollitia
367625,expedita,incidunt
779975,eius,nihil
522654,accusantium,odit
886959,eum,quos
126954,doloribus,illo
963570,magnam,quisquam
691422,officia,facere
408046,eos,necessitatibus
933015,eaque,soluta
337168,aliquid,repudiandae
926931,cupiditate,error
339536,quia,fuga
212160,ullam,eligendi
912271,dignissimos,hic
349342,quisquam,officia
189619,accusantium,voluptates
869372,error,vitae
262910,autem,expedita
316720,unde,cumque
369826,accusamus,maiores
702640,tempora,labore
935551,deleniti,quibusdam
148251,voluptates,nesciunt
808075,eaque,vitae
396005,quas,ad
807768,dolorum,consequatur
677644,laboriosam,hic
505467,deleniti,recusandae
550736,optio,dicta
310871,ea,corporis
773137,ratione,ratione
973425,earum,accusamus
508708,adipisci,quos
890388,quod,sint
693536,sunt,modi
824949,ipsum,voluptate
991184,deleniti,ut
350508,maiores,beatae
784094,quidem,ipsam
999099,eaque,ab
879538,officia,iusto
271592,amet,ipsa
781295,in,earum
557231,aperiam,deleniti
322701,ad,error
912397,beatae,aliquid
865256,temporibus,rerum
525311,aliquam,optio
275427,nam,necessitatibus
939942,sequi,aspernatur
806357,pariatur,distinctio
614053,numquam,facilis
307088,fugit,autem
725712,maiores,architecto
498007,suscipit,soluta
407789,architecto,ducimus
437500,sequi,est
563850,quisquam,temporibus
766857,eius,rem
561948,modi,quod
630430,adipisci,corporis
258185,sunt,eius
859125,placeat,illum
618768,qui,nulla
137206,officia,consequuntur
822551,sint,libero
179822,dignissimos,ullam
963362,vero,eos
937464,quia,doloremque
834467,enim,eveniet
237459,ducimus,voluptatum
545400,vero,aliquid
515291,dolorem,possimus
802760,tempore,aspernatur
286741,non,quae
608498,eum,provident
479508,porro,ea
947015,odio,quasi
794259,excepturi,ullam
369063,esse,modi
885401,similique,excepturi
488643,repudiandae,tempore
524797,ea,voluptate
150712,nemo,amet
441664,ipsa,dolore
218414,dolores,dignissimos
169411,nam,corrupti
130158,iure,quae
573475,odit,optio
897668,deleniti,velit
728314,voluptate,nostrum
923101,eius,possimus
139680,nesciunt,hic
426046,corporis,beatae
101882,labore,doloribus
349403,debitis,porro
773978,labore,dolor
522810,quis,nisi
158373,similique,quidem
351979,ut,dolor
873185,ex,nobis
872196,error,iure
524025,doloribus,neque
440356,atque,voluptatibus
558588,autem,debitis
566639,ipsam,maxime
494254,inventore,quam
386160,nobis,quidem
810079,ad,perspiciatis
599575,animi,quaerat
184754,provident,tempore
857699,assumenda,aliquid
577902,autem,rem
783484,pariatur,aut
413671,porro,beatae
955802,dolorum,numquam
218217,officiis,voluptatibus
109502,quasi,tenetur
837669,dolores,fugit
817014,adipisci,provident
197860,eum,velit
599518,quasi,suscipit
328592,eius,odio
950180,eaque,tempore
332483,est,amet
949589,optio,architecto
264347,nisi,fuga
826071,voluptatem,blanditiis
798688,aliquam,sint
817921,ad,ullam
981354,veritatis,nemo
850240,repellat,ex
276523,atque,distinctio
720037,molestiae,nisi
583899,voluptatum,aliquam
410384,sint,dolor
656368,iste,dicta
563287,repudiandae,voluptas
440965,alias,aut
531642,fuga,quod
750511,assumenda,ducimus
512982,debitis,qui
125823,unde,sed
240997,eos,minima
161845,voluptatem,quos
883779,magni,dolores
394934,recusandae,laboriosam
212675,quia,quas
796556,aliquam,maiores
352961,exercitationem,error
367012,unde,expedita
349412,doloribus,nobis
799631,doloremque,in
793931,repellendus,dolores
816029,fugiat,dolorem
919737,quod,sed
591208,incidunt,reprehenderit
762968,qui,animi
421796,illum,cumque
332206,voluptatem,blanditiis
947185,molestias,magni
677855,dolorum,ullam
551716,doloribus,consequatur
457513,assumenda,soluta
506549,tempora,et
909283,atque,numquam
364266,perspiciatis,facere
328140,quasi,consequatur
476151,magni,in
386585,eos,explicabo
710434,minus,eum
786875,fugit,magni
565984,dolor,optio
734812,consequatur,exercitationem
175950,tenetur,laborum
539969,recusandae,inventore
783299,dolore,facere
491141,autem,architecto
847000,libero,corrupti
498403,fugiat,dignissimos
655920,nulla,ducimus
417864,ipsam,debitis
757544,nemo,vero
851740,quasi,iure
213316,sed,animi
145329,eos,nostrum
386814,quia,nihil
817886,excepturi,dolor
412868,iure,dignissimos
804291,iste,aliquid
450021,nam,sed
837553,pariatur,incidunt
279663,sint,facere
729261,rerum,ipsa
885605,officiis,rerum
972831,excepturi,cum
244779,necessitatibus,iusto
772101,perspiciatis,soluta
213401,doloremque,tempore
273837,quod,nulla
515746,quo,eaque
992229,fugiat,ex
203852,modi,maxime
759303,sit,in
792955,excepturi,velit
146107,reiciendis,laudantium
461047,ducimus,veritatis
592405,rem,quae
247817,voluptates,reprehenderit
309929,labore,nihil
606697,tenetur,perspiciatis
928933,recusandae,ducimus
484537,in,quibusdam
943900,iste,provident
407922,impedit,quibusdam
811264,in,amet
578070,totam,nemo
241675,cumque,doloremque
575858,officia,enim
738176,pariatur,deserunt
116166,accusamus,mollitia
491993,amet,quo
251863,ratione,libero
106044,fuga,facere
493561,excepturi,asperiores
604116,vero,vitae
199080,impedit,vitae
765341,expedita,consectetur
377491,quasi,a
425890,iure,et
940915,expedita,sint
468605,iusto,a
641309,mollitia,delectus
248007,totam,beatae
493704,vero,expedita
352080,accusantium,nulla
346897,fugit,eos
730427,modi,corrupti
489979,corrupti,sit
848544,dignissimos,soluta
855323,ut,nisi
432674,fuga,suscipit
189170,laborum,nam
609059,explicabo,aut
764425,sed,consequuntur
716749,ut,sapiente
260746,commodi,quisquam
210846,aspernatur,cupiditate
627243,laborum,laborum
387494,harum,provident
716726,atque,fugiat
864163,voluptates,quia
495328,quasi,harum
504719,similique,molestias
389588,omnis,amet
944586,ullam,quam
188557,porro,cumque
904010,repellendus,debitis
579033,corporis,magni
839169,nisi,harum
143717,iusto,distinctio
492103,sequi,ipsa
612048,sequi,libero
788420,debitis,ad
810377,perferendis,nesciunt
108423,hic,eius
912421,suscipit,dicta
984698,earum,optio
815887,facilis,ducimus
485976,ut,voluptatem
991958,nam,id
288499,nesciunt,minima
884140,tenetur,vel
225260,fuga,ipsa
941888,consectetur,praesentium
638327,perferendis,quidem
626991,placeat,fugiat
502808,nobis,amet
143175,minus,tempora
348209,consequuntur,nisi
247450,ullam,vero
387519,tenetur,doloribus
357083,quo,quo
782574,maxime,ratione
370152,odit,eveniet
655625,animi,modi
539579,odio,beatae
413362,cupiditate,rerum
448784,sed,vel
425303,ut,consequuntur
632584,inventore,impedit
871361,soluta,possimus
806246,neque,placeat
712791,assumenda,architecto
536503,fuga,corrupti
506949,vel,nulla
148885,culpa,ipsam
140721,totam,impedit
952622,consequuntur,deserunt
346612,enim,eaque
633074,earum,consequuntur
674256,incidunt,aliquid
690771,facere,minus
319506,perspiciatis,officia
989534,pariatur,totam
466767,et,commodi
617547,commodi,doloribus
494328,similique,rerum
884857,quidem,vel
633923,tempora,consequuntur
361373,et,vitae
921341,inventore,voluptatibus
590955,voluptates,incidunt
511709,quasi,enim
590806,accusantium,quidem
345723,aliquid,et
524069,eaque,iure
520432,laboriosam,nobis
818338,laborum,harum
983578,assumenda,debitis
501374,vero,sunt
996994,molestiae,error
765132,quia,quod
535110,sunt,quo
942852,debitis,eos
922626,debitis,a
369090,non,assumenda
541457,quia,minima
416086,explicabo,nam
604807,voluptatum,et
715013,earum,asperiores
845032,quisquam,consectetur
862560,dicta,necessitatibus
932668,dolorem,amet
817706,aspernatur,corrupti
157878,quidem,magnam
301263,nulla,doloremque
445643,omnis,ipsum
538805,alias,facere
697727,cum,id
687046,quis,libero
921669,rem,veniam
679478,nulla,earum
813749,consequatur,vel
528378,aperiam,porro
